League Name,Season ID,Season Year
Algeria Ligue 1,273,20142015
Algeria Ligue 1,274,20132014
Algeria Ligue 1,1710,20182019
Algeria Ligue 1,2633,20192020
Algeria Ligue 1,5238,20202021
Algeria Ligue 1,6733,20212022
Algeria Ligue 1,7919,20222023
Algeria Ligue 1,10521,20232024
Algeria Ligue 1,12665,20242025
Algeria Ligue 2,275,20172018
Algeria Ligue 2,276,20162017
Algeria Ligue 2,277,20152016
Algeria Ligue 2,282,20142015
Algeria Ligue 2,283,20132014
Algeria Ligue 2,1711,20182019
Algeria Ligue 2,2636,20192020
Algeria Ligue 2,5460,20202021
Algeria Ligue 2,6734,20212022
Algeria Ligue 2,8177,20222023
Algeria Ligue 2,10727,20232024
Algeria Ligue 2,13109,20242025
Hong Kong Hong Kong Premier League,284,20172018
Hong Kong Hong Kong Premier League,285,20162017
Hong Kong Hong Kong Premier League,286,20152016
Hong Kong Hong Kong Premier League,287,20142015
Hong Kong Hong Kong Premier League,288,20132014
Hong Kong Hong Kong Premier League,1716,20182019
Hong Kong Hong Kong Premier League,2668,20192020
